code,item,cost,type
04TR-009,Replace the clutch plate 更换离合器片,1500,clutch 离合
04TR-010,Replace the presure plate 更换离合器压板,,clutch 离合
04TR-011,Replace the thrust bearing 更换分离轴承,,clutch 离合
04TR-012,Replace the piolt bearing 更换导向轴承,,clutch 离合
04TR-013,Replace the cluch master cylinder 更换离合器总泵,350,clutch 离合
04TR-014,Replace the cluch slave cylinder 更换离合器分泵,300,clutch 离合
04TR-015,Replace the cluch booster 更换离合器助力鼓,400,clutch 离合
04TR-016,Replace the cluch soft pipe 更换离合器软管,300,clutch 离合
04TR-017,Replace the cluch iron pipe 更换离合器铁管,300,clutch 离合
04TR-018,Top up the clutch fluid 补充离合器油,300,clutch 离合
04TR-019,Replace the clutch fluid 更换离合器油,150,clutch 离合
04TR-020,Repair the clutch fluid pipe by welding 焊接维修离合器油管,350,clutch 离合
04TR-021,Remove the gear box and fit it back 拆装变速箱,1200,gear box 变速箱
04TR-022,Remove to clean the gearbox and fit it back 拆装清洗变速箱 ,1500,gear box 变速箱
04TR-023,Dismantle the gearbox and fit it back 变速箱拆解组装,1800,gear box 变速箱
04TR-024,Remove to clean the transmission oil sump and fix it back 拆装清洗变速箱油底壳,350,gear box 变速箱
04TR-025,Seal the transmission oil sump 变速箱油底壳打胶密封,100,gear box 变速箱
04TR-026,Replace the transmission oil sump gasket 更换变速箱油底壳密封垫,300,gear box 变速箱
04TR-027,Replace the transmission oil sump 更换变速箱油底壳,300,gear box 变速箱
04TR-028,Remove to clean the transmission filter and fix it back 拆装清洗变速箱滤网,350,gear box 变速箱
04TR-029,Replace transmission fluid filter 更换变速箱油滤,300,gear box 变速箱
04TR-030,"Test transmission sensors, solenoid valves and wiring 检测变速箱传感器、电磁阀和线路",350,gear box 变速箱
04TR-031,Remove to clean the transmission control valve 拆装清洗变速箱阀体,350,gear box 变速箱
04TR-032,Replace the automatic gearbox complete 更换自动变速箱总成,1500,gear box 变速箱
04TR-033,Replace the gearbox complete 更换手动变速箱总成,1500,gear box 变速箱
04TR-034,Clean the gearbox surface 变速箱外部清洁,150,gear box 变速箱
04TR-035,Flush the gearbox inside 变速箱内部清洗,200,gear box 变速箱
04TR-036,Seal the gearbox (to stop the leakage) 变速箱打胶密封,150,gear box 变速箱
04TR-037,Stop leaking for transmission 变速箱堵漏,150,gear box 变速箱
04TR-038,Replace the gear box seal 更换变速箱油封,400,gear box 变速箱
04TR-039,Replace the transmission torque converter 更换变速箱液力变矩器,400,gear box 变速箱
04TR-040,Ordinary service for gearbox 保养变速箱系统,400,gear box 变速箱
04TR-041,Replace the gearbox output speed sensor 更换变速箱输出速度传感器,400,gear box 变速箱
04TR-042,Repair the oil leakage of gear box 维修变速箱漏油,,gear box 变速箱
04TR-043,Remove to clean the transfer case 拆装清洗分动箱,,gear box 变速箱
04TR-044,Overhaul the gear shift system 检修排挡系统,400,gear shift 排挡
04TR-045,Replace the A/T switch 更换档位开关,400,gear shift 排挡
04TR-046,Repair the gear lever 检修排挡杆,400,gear shift 排挡
04TR-047,Replace the gear selector 更换排挡杆球头,300,gear shift 排挡
04TR-048,Replace the gear shifting system 更换液压档杆机构,350,gear shift 排挡
04TR-049,Adjust the gear shifting system 液压档杆机构调校,400,gear shift 排挡
04TR-050,Remove the gear lever to repair and fit it back 排挡杆拆装,400,gear shift 排挡
04TR-051,Replace the bearing housing 更换变速箱端盖,,
04TR-052,Replace the fork 更换分离轴承拨叉,,
04TR-053,Repair the fork 检修分离轴承拨叉,,
04TR-054,Repair the gear box 维修变速箱,,
04TR-055,Replace the gear selector 更换气动档杆助力泵,,
05CL-001,Top up the coolant 补充冷却液,0,coolant 冷却液
05CL-002,Replace the coolant 更换冷却液,150,coolant 冷却液
05CL-003,Check the coolant leakage 检查冷却液渗漏,,coolant 冷却液
05CL-004,Repair the coolant leakage 维修冷却液渗漏,,coolant 冷却液
05CL-005,Remove the radiator to check the leakage 拆装水箱检查漏水,200, leakage 漏水
05CL-006,Stop leaking of cooling system 冷却系统堵漏,200, stop leaking 堵漏
05CL-007,Replace the coolant tank 更换冷却液水壶,300,coolant tank 冷却液水壶
05CL-008,Replace the coolant tank (with sensor) 更换冷却液水壶（带传感器）,400,coolant tank 冷却液水壶
05CL-009,Replace the expansion tank complete 更换副水壶总成,350,expansion tank 副水壶
05CL-010,Repair the leakage of water pump 维修水泵漏水,350,water pump 水泵
05CL-011,Replace the water pump complete 更换冷却水泵总成,350,water pump 水泵
05CL-012,Adjust the fan belt 调节风扇皮带,150,fan 风扇
05CL-013,Replace the fan belt 更换风扇皮带,200,fan 风扇
05CL-014,Overhaul the circuit of fan 检修冷却风扇电路,300,fan 风扇
05CL-015,Repair the fan motor 维修冷却风扇电机,350,fan 风扇
05CL-016,Replace the fan motor 更换冷却风扇电机,300,fan 风扇
05CL-017,Replace the fan 更换冷却风扇,300,fan 风扇
05CL-018,Repair the fun crutch 维修水箱风扇耦合器,,fan 风扇
05CL-019,Repair the radiator hose 维修冷却水管,350,hose 水管
05CL-020,Replace the radiator hose 更换冷却水管,300,hose 水管
05CL-021,Hand make the water pipe tee 制作水管三通,350,hose 水管
05CL-022,Remove the radiator to check and fit it back 拆装水箱,,Radiator 水箱
05CL-023,Radiator flush 散热器内部清洗,150,Radiator 水箱
05CL-024,Clean the radiator surface 散热器外部清洗,100,Radiator 水箱
05CL-025,Repair the radiator 维修散热器,1200,Radiator 水箱
05CL-026,Repair the radiator leakage 维修水箱漏水,450,Radiator 水箱
05CL-027,Replace the radiator complete 更换散热器总成,400,Radiator 水箱
05CL-028,Repair the radiator cap 维修散热器盖子,150,Radiator cap 水箱盖
05CL-029,Replace the upper radiator guard 更换水箱上护板,,Radiator 水箱
05CL-030,Replace the radiator cap 更换散热器盖子,50,Radiator cap 水箱盖
05CL-031,Replace the five-way of the thermostat bracket 更换节温器底座五通,850,thermostat 节温器
05CL-032,Remove the thermostat and fix it back 拆装节温器,400,thermostat 节温器
05CL-033,Hand make the thermostat cap 制作节温器盖,300,thermostat 节温器
05CL-034,Remove the thermostat 拆除节温器,300,thermostat 节温器
05CL-035,Replace the temperature switch 更换节温器开关,300,thermostat 节温器
05CL-036,Remove the rear heater 拆除后加热器,350,heater 加热器
05CL-037,Repair the water pipe leakage 维修水管漏水,245,
05CL-038,Replace the water pipe of the base of oil filter 更换机油格底座水管,100,
05CL-039,Replace the join conector of piper 更换水管三通,,
06BK-001,Top up brake fluid 补充刹车油,0,brake fluid 刹车油
06BK-002,Top up brake fluid and air discharge 补充刹车油并排空气,,
06BK-003,Brake fluid regulator 更换刹车油,300,brake fluid 刹车油
06BK-004,Replace front brake pads 更换前刹车片,300,brake pads 刹车片
06BK-005,Replace rear brake pads 更换后刹车片,300,brake pads 刹车片
06BK-006,Service front brake pads 保养前刹车片,350,brake pads 刹车片
06BK-007,Service rear brake pads 保养后刹车片,350,brake pads 刹车片
06BK-008,Replace front brake shoess 更换前刹车蹄,350,brake shoess 刹车蹄
06BK-009,Replace rear brake shoes 更换后刹车蹄,350,brake shoess 刹车蹄
06BK-010,Service and adjust front brake shoes 保养调节前刹车蹄,400,brake shoess 刹车蹄
06BK-011,Service and adjust rear brake shoes 保养调节后刹车蹄,400,brake shoess 刹车蹄
06BK-012,Replace and adjust the hand brake shoes 更换并调节手刹蹄,350,hand brakes 手刹
06BK-013,Service and adjust the hand brakes 保养并调节手刹,350,hand brakes 手刹
06BK-014,Repair and adjust the hand brake cable 维修/调节手刹拉线,300,hand brakes 手刹
06BK-015,Replace the hand brake cable 更换手刹拉线,300,hand brakes 手刹
06BK-016,Repair the electrical hand brake 维修电子手刹,1500,hand brakes 手刹
06BK-017,Replace the electrical hand brake 更换电子手刹,1000,hand brakes 手刹
06BK-018,Replace front brake sensor 更换前刹传感器,350,brake sensor传感器
06BK-019,Replace rear brake sensor 更换后刹传感器,350,brake sensor传感器
06BK-020,Reset the brake service light 传感器匹配,200,brake sensor传感器
06BK-021,Replace FL brake discs 更换左前刹车盘,250,brake discs 刹车盘
06BK-022,Replace FR brake discs 更换右前刹车盘,250,brake discs 刹车盘
06BK-023,Replace RL brake discs 更换左后刹车盘,250,brake discs 刹车盘
06BK-024,Replace RR brake discs 更换右后刹车盘,250,brake discs 刹车盘
06BK-025,Remove and fix back the front brake discs 拆装前刹车盘,400,brake discs 刹车盘
06BK-026,Skimming the front brake discs 光前刹车盘,0,brake discs 刹车盘
06BK-027,Remove and fix back the rear brake discs 拆装后刹车盘,400,brake discs 刹车盘
06BK-028,Skimming the rear brake discs 光后刹车盘,0,brake discs 刹车盘
06BK-029,Clean the front wheel drum 清洗前刹车鼓,500,wheel drum 刹车鼓
06BK-030,Clean the rear wheel drum 清洗后刹车鼓,500,wheel drum 刹车鼓
06BK-031,Replace the FL wheel dram 更换左前刹车鼓,250,wheel drum 刹车鼓
06BK-032,Replace the FR wheel dram 更换右前刹车鼓,250,wheel drum 刹车鼓
06BK-033,Replace the RL wheel dram 更换左后刹车鼓,250,wheel drum 刹车鼓
06BK-034,Replace the RR wheel dram 更换右后刹车鼓,250,wheel drum 刹车鼓
06BK-035,"Dismatle the dashboarb to overhaul the brakes
拆装仪表台检修",2000,master cylinder刹车总泵
06BK-036,Repair brake master cylinder 维修刹车总泵,400,master cylinder刹车总泵
06BK-037,Replace brake master cylinder 更换刹车总泵,350,master cylinder刹车总泵
06BK-038,Replace brake master cylinder seal 更换刹车总泵油封,350,master cylinder刹车总泵
06BK-039,Repair the ABS pump 维修ABS泵,450,ABS泵
06BK-040,Replace the ABS pump 更换ABS泵,400,ABS泵
06BK-041,Repair the FL wheel cylinder 维修左前刹车分泵,400,wheel cylinder刹车分泵
06BK-042,Repair the FR wheel cylinder 维修右前刹车分泵,400,wheel cylinder刹车分泵
06BK-043,Repair the RL wheel cylinder 维修左后刹车分泵,400,wheel cylinder刹车分泵
06BK-044,Repair the RR wheel cylinder 维修右后刹车分泵,400,wheel cylinder刹车分泵
06BK-045,Replace the FL wheel cylinder 更换左前刹车分泵,350,wheel cylinder刹车分泵
06BK-046,Replace the FR wheel cylinder 更换右前刹车分泵,350,wheel cylinder刹车分泵
06BK-047,Replace the RL wheel cylinder 更换左后刹车分泵,350,wheel cylinder刹车分泵
06BK-048,Replace the RR wheel cylinder 更换右后刹车分泵,350,wheel cylinder刹车分泵
06BK-049,Repair the FL disc caliper 维修左前刹车钳,400,disc caliper刹车钳
06BK-050,Repair the FR disc caliper 维修右前刹车钳,400,disc caliper刹车钳
06BK-051,Repair the RL disc caliper 维修左后刹车钳,400,disc caliper刹车钳
06BK-052,Repair the RR disc caliper 维修右后刹车钳,400,disc caliper刹车钳
06BK-053,Replace the FL disc caliper 更换前左刹车钳,350,disc caliper刹车钳
06BK-054,Replace the FR disc caliper 更换前右刹车钳,350,disc caliper刹车钳
06BK-055,Replace the RL disc caliper 更换左后刹车钳,350,disc caliper刹车钳
06BK-056,Replace the RR disc caliper 更换右后刹车钳,350,disc caliper刹车钳
06BK-057,Repair the FL flaxible pipe 维修左前刹车软管,350,flaxible pipe刹车油管
06BK-058,Repair the FR flaxible pipe 维修右前刹车软管,350,flaxible pipe刹车油管
06BK-059,Repair the RL flaxible pipe 维修左后刹车软管,350,flaxible pipe刹车油管
06BK-060,Repair the RR flaxible pipe 维修右后刹车软管,350,flaxible pipe刹车油管
06BK-061,Replace the FL flaxible pipe 更换左前刹车软管,300,flaxible pipe刹车油管
06BK-062,Replace the FR flaxible pipe 更换右前刹车软管,300,flaxible pipe刹车油管
06BK-063,Replace the RL flaxible pipe 更换左后刹车软管,300,flaxible pipe刹车油管
06BK-064,Replace the RR flaxible pipe 更换右后刹车软管,300,flaxible pipe刹车油管
06BK-065,Repair the brake line 维修刹车铁管,450,flaxible pipe刹车油管
06BK-066,Replace the brake line 更换刹车铁管,400,flaxible pipe刹车油管
06BK-067,Replace the FL disc caliper bolt  更换左前刹车钳螺丝,300, caliper bolt 刹车钳螺丝
06BK-068,Replace the FR disc caliper bolt  更换右前刹车钳螺丝,300, caliper bolt 刹车钳螺丝
06BK-069,Replace the RL disc caliper bolt  更换左后刹车钳螺丝,300, caliper bolt 刹车钳螺丝
06BK-070,Replace the RR disc caliper bolt  更换右后刹车钳螺丝,300, caliper bolt 刹车钳螺丝
06BK-071,Replace the FL brake lockers 更换左前刹车螺丝,300,brake lockers刹车螺丝
06BK-072,Replace the FR brake lockers 更换右前刹车螺丝,300,brake lockers刹车螺丝
06BK-073,Replace the RL brake lockers 更换左后刹车螺丝,300,brake lockers刹车螺丝
06BK-074,Replace the RR brake lockers 更换右后刹车螺丝,300,brake lockers刹车螺丝
06BK-075,Repair the brakes noisy 维修刹车异响,400,noisy异响
06BK-076,Overhaul the brake system 刹车系统检修,,brake system刹车系统
06BK-077,Overhaul the FL brake system 左前刹车系统检修,400,brake system刹车系统
06BK-078,Overhaul the FR brake system 右前刹车系统检修,400,brake system刹车系统
06BK-079,Overhaul the RL brake system 左后刹车系统检修,400,brake system刹车系统
06BK-080,Overhaul the RR brake system 右后刹车系统检修,400,brake system刹车系统
06BK-081,Replace the wheel cylinder seals 更换刹车分泵油封,400,brake system刹车系统
06BK-082,Machine the wheel drum 加工轴套,400,
06BK-083,Replace the vacuum pump 更换真空泵,400,
06BK-084,Replace the booster 更换大力鼓,400,
06BK-085,Repair and adjust the hand brake 维修手刹,,
06BK-086,Replace the FL disc caliper return spring 更换左前刹车钳弹簧,,
06BK-087,Replace the FR disc caliper return spring 更换右前刹车钳弹簧,,
06BK-088,Replace the brake switch 更换刹车开关,,
06BK-089,Replace the vacuum booster tube 更换真空助力管,,
06BK-090,Replace the brake vacuum drayer 更换,,
07FS-001,Replace FL stablizer links 更换前左平衡杆吊杆,120,stablizer links平衡杆
07FS-002,Replace FR stablizer links 更换前右平衡杆吊杆,120,stablizer links平衡杆
07FS-003,Remove the FL stablizer links and fix it back 拆装前左平衡杆吊杆,120,stablizer links平衡杆
07FS-004,Remove the FR stablizer links and fix it back 拆装前右平衡杆吊杆,120,stablizer links平衡杆
07FS-005,Repair FL stablizer links 维修前左平衡杆吊杆,120,stablizer bush平衡杆胶套
07FS-006,Repair FR stablizer links 维修前右平衡杆吊杆,120,stablizer bush平衡杆胶套
07FS-007,Replace FL stablizer bush 更换前左平衡杆胶套,120,stablizer bush平衡杆胶套
07FS-008,Replace FR stablizer bush 更换前右平衡杆胶套,120,ball joint球头
07FS-009,Repair FL stablizer bush 维修前左平衡杆胶套,120,ball joint球头
07FS-010,Repair FR stablizer nush 维修前右平衡杆胶套,120,ball joint球头
07FS-011,Replace FL upper ball joint 更换前左上支臂球头,120,ball joint球头
07FS-012,Replace FR upper ball joint 更换前右上支臂球头,120, bush胶套
07FS-013,Replace FL lower ball joint 更换前左下支臂球头,100, bush胶套
07FS-014,Replace FR lower ball joint 更换前右下支臂球头,100, bush胶套
07FS-015,Replace FL upper arm bushes (big) 更换前左上支臂大胶套,100, bush胶套
07FS-016,Replace FL upper arm bushes (small) 更换前左上支臂小胶套,100, bush胶套
07FS-017,Replace FR upper arm bushes (big) 更换前右上支臂大胶套,150, bush胶套
07FS-018,Replace FR upper arm bushes (small) 更换前右上支臂小胶套,150,arm 支臂
07FS-019,Replace FL lower arm bushes (big) 更换前左下支臂大胶套,150,arm 支臂
07FS-020,Replace FL lower arm bushes (small)  更换前左下支臂小胶套,150,arm 支臂
07FS-021,Replace FR lower arm bushes (big)  更换前右下支臂大胶套,200,arm 支臂
07FS-022,Replace FR lower arm bushes  (small) 更换前右下支臂小胶套,200,arm 支臂
07FS-023,Replace FL upper control arm complete更换前左上支臂总成,200,arm 支臂
07FS-024,Replace FR upper control arm complete更换前右上支臂总成,200,arm 支臂
07FS-025,Replace FL lower control arm complete更换前左下支臂总成,200,arm 支臂
07FS-026,Replace FR lower control arm complete更换前右下支臂总成,200,arm 支臂
07FS-027,Repair FL stablizer link holder 维修前左支臂孔,200,arm 支臂
07FS-028,Repair FR stablizer link holder 维修前右支臂孔,200,wheel bearing轮芯轴承
07FS-029,Repair the holder of FL upper control arm 维修前左上支臂支架,220,wheel bearing轮芯轴承
07FS-030,Repair the holder of FR upper control arm 维修前右上支臂支架,220,wheel bearing轮芯轴承
07FS-031,Replace the bolt of  FL upper control arm 更换前左上支臂螺栓,200,wheel hub轮毂单元
07FS-032,Replace the bolt of  FR upper control arm 更换前右上支臂螺栓,200,wheel hub轮毂单元
07FS-033,Replace the bolt of  FL lower control arm 更换前左下支臂螺栓,220,shock 减震
07FS-034,Replace the bolt of  FR lower control arm 更换前右下支臂螺栓,220,shock 减震
07FS-035,Replace FL lower control arm bouncing rubber更换前左下支臂缓冲胶,200,shock 减震
07FS-036,Replace FR lower control arm bouncing rubber更换前右下支臂缓冲胶,200,shock 减震
07FS-037,Replace FL wheel bearing 更换左前轮芯轴承,220,shock 减震
07FS-038,Replace FR wheel bearing 更换右前轮芯轴承,220,shock 减震
07FS-039,Replace FL wheel hub seal 更换左前轮毂轴承油封,200,shock 减震
07FS-040,Replace FR wheel hub seal 更换右前轮毂轴承油封,200,shock 减震
07FS-041,Replace FL wheel hub 更换左前轮毂单元总成,220,shock 减震
07FS-042,Replace FR wheel hub 更换右前轮毂单元总成,220,shock 减震
07FS-043,Replace FL shock absorber 更换前左减震器,200,shock 减震
07FS-044,Replace FR shock absorber 更换前右减震器,200,shock 减震
07FS-045,Remove the FL shock and fix it back (with spring) 拆装前左减震器(带弹簧),300,shock 减震
07FS-046,Remove the FR shock and fix it back (with spring) 拆装前右减震器(带弹簧),300,shock 减震
07FS-047,Replace FL shock (with spring) 更换前左减震器(带弹簧),300,shock 减震
07FS-048,Replace FR shock (with spring) 更换前右减震器(带弹簧),300,shock 减震
07FS-049,Modifying FL shock (with spring) 改装前左减震器(带弹簧),300,shock 减震
07FS-050,Modifying FR shock (with spring) 改装前右减震器(带弹簧),300,shock 减震
07FS-051,Welding FL shock (with spring) 焊接前左减震器(带弹簧),300,shock 减震
07FS-052,Welding FR shock (with spring) 焊接前右减震器(带弹簧),300,shock 减震
07FS-053,Replace FL shock (with air bag) 更换前左气囊震器,350,shock 减震
07FS-054,Replace FR shock (with  air bag) 更换前右气囊震器,350,shock 减震
07FS-055,Replace Front Left shock air bag 更换左前震器气囊,,
07FS-056,Replace Front Right shock air bag 更换右前震器气囊,,
07FS-057,Replace Front shock air pump 更换前震器气囊打气泵,,
07FS-058,Reset the suspension 匹配空气悬挂,350,shock 减震
07FS-059,Replace FL hydraulic shock absorber 更换前左液压震器,350,sring 钢板
07FS-060,Replace FR hydraulic shock absorber 更换前右液压震器,200,sring 钢板
07FS-061,Replace front shocks hydraulic oil 更换前减震液压油,200,底盘异响
07FS-062,Service the FL shocks 保养前左减震器,200,
07FS-063,Service the FR shocks 保养前右减震器,200,
07FS-064,Replace FL shock mounting 更换前左减震器顶胶,200,
07FS-065,Replace FR shock mounting 更换前右减震器顶胶,200,stablizer links平衡杆
07FS-066,Replace FL shock bush 更换前左减震器胶套,200,stablizer links平衡杆
07FS-067,Replace FR shock bush 更换前右减震器胶套,200,stablizer links平衡杆
07FS-068,Replace FL shock spring 更换前左减震器弹簧,,stablizer bush平衡杆胶套
07FS-069,Replace FR shock spring 更换前右减震器弹簧,,stablizer bush平衡杆胶套
07FS-070,Replace FL shock spring rubber 更换前左减震弹簧胶垫,,ball joint球头
07FS-071,Replace FR shock spring rubber 更换前右减震弹簧胶垫,,ball joint球头
07FS-072,Replace FL shock spring holder/plate 更换前左减震弹簧顶座,200, bush胶套
07FS-073,Replace FR shock spring holder/plate 更换前右减震弹簧顶座,200, bush胶套
07FS-074,Service FL shock spring plate bearing 保养前左减震弹簧顶座轴承,,
07FS-075,Service FR shock spring plate bearing 保养前右减震弹簧顶座轴承,,
07FS-076,Replace FL shock spring plate bearing 更换前左减震弹簧顶座轴承,200, bush胶套
07FS-077,Replace FR shock spring plate bearing 更换前右减震弹簧顶座轴承,200,arm 支臂
07FS-078,Replace FL shock rubber boot更换前左减震器防尘套,250,arm 支臂
07FS-079,Replace FR shock rubber boot更换前右减震器防尘套,250,arm 支臂
07FS-080,Fix FL shock bouncing rubber更换前左减震缓冲胶,250,arm 支臂
07FS-081,Fix FR shock bouncing rubber更换前右减震缓冲胶,250,arm 支臂
07FS-082,Fix RL shock bouncing rubber更换后左减震缓冲胶,200,shock mounting 减震器顶胶
07FS-083,Fix RR shock bouncing rubber更换后右减震缓冲胶,200,shock mounting 减震器顶胶
07FS-084,Replace the FL leaf spring 更换左前减震钢板,250,wheel bearing轮芯轴承
07FS-085,Replace the FR leaf spring 更换右前减震钢板,250,wheel bearing轮芯轴承
07FS-086,Dealing with the noisy of suspension 检修底盘异响,250,wheel hub轮毂单元
07FS-087,Service & coating for the suspension 底盘装甲,250,shock 减震
07FS-088,Repair the cabin lock 维修驾驶楼拉杆,200,shock 减震
07FS-089,Fix the suspension guard board紧固底盘护板,200,shock 减震
07FS-090,Replace the FL left knuckle arm 更换左前羊角,300,转向节
07FS-091,Replace the FR left knuckle arm 更换右前羊角,300,转向节
07FS-092,Repair the bolt of FR shock 维修右前减震器螺丝,50,shock 减震
07FS-093,Repair the bolt of FL shock 维修右前减震器螺丝,50,shock 减震
08RS-001,Replace RL stablizer links 更换后左平衡杆吊杆,120,stablizer links 平衡杆
08RS-002,Replace RR stablizer links 更换后右平衡杆吊杆,120,stablizer links 平衡杆
08RS-003,Replace RL stablizer bush 更换后左平衡杆胶套,120,stablizer bush平衡杆胶套
08RS-004,Replace RR stablizer bush 更换后右平衡杆胶套,120,stablizer bush平衡杆胶套
08RS-005,Repair RL stablizer bush 维修后左平衡杆胶套,100,stablizer bush平衡杆胶套
08RS-006,Repair RR stablizer nush 维修后右平衡杆胶套,100,stablizer bush平衡杆胶套
08RS-007,Replace RL upper ball joint 更换后左上支臂球头,100,ball joint 球头
08RS-008,Replace RR upper ball joint 更换后右上支臂球头,100,ball joint 球头
08RS-009,Replace RL lower ball joint 更换后左下支臂球头,150,ball joint 球头
08RS-010,Replace RR lower ball joint 更换后右下支臂球头,150,ball joint 球头
08RS-011,Repair RL control rod 维修后左外拉杆,150,control rod 外拉杆
08RS-012,Repair RR control rod 维修后右外拉杆,150,control rod 外拉杆
08RS-013,Replace RL control rod 更换后左外拉杆,200,control rod 外拉杆
08RS-014,Replace RR control rod 更换后右外拉杆,200,control rod 外拉杆
08RS-015,Repair RL control rod bush 维修后左外拉杆胶套,200,control rod bush外拉杆胶套
08RS-016,Repaie RR control rod bush 维修后右外拉杆胶套,200,control rod bush外拉杆胶套
08RS-017,Replace RL control rod bush 更换后左外拉杆胶套,200,control rod bush外拉杆胶套
08RS-018,Replace RR control rod bush 更换后右外拉杆胶套,200,control rod bush外拉杆胶套
08RS-019,Replace RL knuckle arm bush 更换后左转向臂胶套,200,bush 胶套
08RS-020,Replace RR knuckle arm bush 更换后右转向臂胶套,200,bush 胶套
08RS-021,Replace RL upper control arm bushes (big) 更换后左上支臂大胶套,200,bush 胶套
08RS-022,Replace RL upper control arm bushes (small) 更换后左上支臂小胶套,200,bush 胶套
08RS-023,Replace RR upper control arm bushes (big)  更换后右上支臂大胶套,200,bush 胶套
08RS-024,Replace RR upper control arm bushes (small)  更换后右上支臂小胶套,200,bush 胶套
08RS-025,Replace RL lateral arm bush (big) 更换后左侧悬臂大胶套,150,bush 胶套
08RS-026,Replace RL lateral arm bush (small) 更换后左侧悬臂小胶套,150,bush 胶套
08RS-027,Replace RR control arm bush (big) 更换后右侧悬臂大胶套,150,bush 胶套
08RS-028,Replace RR control arm bush (small) 更换后右侧悬臂小胶套,150,bush 胶套
08RS-029,Replace RL lower arm bushes (big)  更换后左下支臂大胶套,220,bush 胶套
08RS-030,Replace RL lower arm bushes (small)  更换后左下支臂小胶套,220,bush 胶套
08RS-031,Replace RR lower arm bushes (big)  更换后右下支臂大胶套,220,bush 胶套
08RS-032,Replace RR lower arm bushes (small)  更换后右下支臂小胶套,220,bush 胶套
08RS-033,"Replace rear bushes (Non-independent suspension)
更换后桥拉杆胶套(非独立悬架VVTI)",200,bush 胶套
08RS-034,"Replace rear bushes (Independent suspension)
更换后桥拉杆胶套(独立悬架)",200,bush 胶套
08RS-035,Replace rear left damper 更换左后后桥缓冲胶,,
08RS-036,Replace rear right damper 更换右后后桥缓冲胶,,
08RS-037,Replace RL upper control arm 更换后左上支臂总成,200,arm 支臂
08RS-038,Replace RR upper control arm更换后右上支臂总成,200,arm 支臂
08RS-039,Replace RL lower control arm 更换后左下支臂总成,200,arm 支臂
08RS-040,Replace RR lower control arm 更换后右下支臂总成,200,arm 支臂
08RS-041,Repair RL stablizer link holder 维修后左支臂孔,200,arm 支臂
08RS-042,Repair RR stablizer link holder 维修后右支臂孔,200,arm 支臂
08RS-043,Replace the bolt of  RL upper control arm 更换后左上支臂螺栓,220,arm 支臂
08RS-044,Repair the holder of RR upper control arm 更换后右上支臂螺栓,220,arm 支臂
08RS-045,Replace RL wheel bearing 更换后左轮芯轴承,200, wheel bearing轮芯轴承
08RS-046,Replace RR wheel bearing 更换后右轮芯轴承,200, wheel bearing轮芯轴承
08RS-047,Replace RL wheel hub 更换后左轮毂单元总成,220,wheel hub轮毂单元
08RS-048,Replace RR wheel hub 更换后右轮毂单元总成,220,wheel hub轮毂单元
08RS-049,Replace RL shock absorber 更换后左减震器,200,shock 减震
08RS-050,Replace RR shock absorber 更换后右减震器,200,shock 减震
08RS-051,Remove the RL shock and fix it back (with spring) 拆装后左减震器(带弹簧),220,shock 减震
08RS-052,Remove the RR shock and fix it back (with spring) 拆装后右减震器(带弹簧),220,shock 减震
08RS-053,Replace RL shock (with spring) 更换后左减震器(带弹簧),200,shock 减震
08RS-054,Replace RR shock (with spring) 更换后右减震器(带弹簧),200,shock 减震
08RS-055,Replace RL shock (with air bag) 更换后左气囊震器,220,shock 减震
08RS-056,Replace RR shock (with  air bag) 更换后右气囊震器,220,shock 减震
08RS-057,Overhaul the air suspension 检修空气悬挂,,
08RS-058,Reset the suspension 匹配空气悬挂,200,shock 减震
08RS-059,Replace RL hydraulic shock absorber 更换后左液压减震器,200,shock 减震
08RS-060,Replace RL hydraulic shock absorber 更换后左液压震器,220,shock 减震
08RS-061,Replace RR hydraulic shock absorber 更换后右液压减震器,220,shock 减震
08RS-062,Replace RR hydraulic shock absorber 更换后右液压震器,200,shock 减震
08RS-063,Replace rear shocks hydraulic oil 更换后减震液压油,200,shock 减震
08RS-064,Service the RL shocks 保养后左减震器,220,shock 减震
08RS-065,Service the RR shocks 保养后右减震器,220,shock 减震
08RS-066,Replace RL shock mounting 更换后左减震器顶胶,200,shock 减震
08RS-067,Replace RR shock mounting 更换后右减震器顶胶,200,shock 减震
08RS-068,Replace RL shock bush 更换后左减震器胶套,500,shock 减震
08RS-069,Replace RR shock bush 更换后右减震器胶套,500,shock 减震
08RS-070,Replace RL shock spring 更换后左减震器弹簧,200,shock 减震
08RS-071,Replace RR shock spring 更换后右减震器弹簧,200,shock 减震
08RS-072,Replace RL shock spring rubber 更换后左减震弹簧胶垫,300,shock 减震
08RS-073,Replace RR shock spring rubber 更换后右减震弹簧胶垫,300,shock 减震
08RS-074,Replace RL shock spring holder/plate 更换后左减震弹簧顶座,300,shock 减震
08RS-075,Replace RR shock spring holder/plate 更换后右减震弹簧顶座,300,shock 减震
08RS-076,Replace RL shock spring plate bearing 更换后左减震弹簧顶座轴承,300,shock 减震
08RS-077,Replace RR shock spring plate bearing 更换后右减震弹簧顶座轴承,300,shock 减震
08RS-078,Replace RL shock rubber boot更换后左减震器防尘套,300,shock 减震
08RS-079,Replace RR shock rubber boot更换后右减震器防尘套,300,shock 减震
08RS-080,Heightening RL shock (with spring) 加高改装后左减震器(带弹簧),350,shock 减震
